#thit	thr	eventID	hit#	channel	edge	error	coarse	fine	time
202	-44	520	4	0	1	0	1000	28	25021.875000ns
203	-44	522	0	0	1	0	424	4	10603.125000ns
204	-44	522	1	0	1	0	430	29	10772.656250ns
205	-44	522	2	0	1	0	519	19	12989.843750ns
206	-44	522	3	0	1	0	526	13	13160.156250ns
207	-44	522	4	0	1	0	529	18	13239.062500ns
208	-44	524	0	0	1	0	338	7	8455.468750ns
209	-44	524	1	0	1	0	439	3	10977.343750ns
210	-44	525	0	0	1	0	448	29	11222.656250ns
211	-44	525	1	0	1	0	459	1	11475.781250ns
212	-44	525	2	0	1	0	543	24	13593.750000ns
213	-44	525	3	0	1	0	547	5	13678.906250ns
214	-44	526	0	0	1	0	509	14	12735.937500ns
215	-44	526	1	0	1	0	914	21	22866.406250ns
216	-44	528	0	0	1	0	481	30	12048.437500ns
217	-44	528	1	0	1	0	492	8	12306.250000ns
218	-44	528	2	0	1	0	577	1	14425.781250ns
219	-44	529	0	0	1	0	432	19	10814.843750ns
220	-44	529	1	0	1	0	528	2	13201.562500ns
221	-44	529	2	0	1	0	531	1	13275.781250ns
222	-44	530	0	0	1	0	405	31	10149.218750ns
223	-44	530	1	0	1	0	418	12	10459.375000ns
224	-44	530	2	0	1	0	497	11	12433.593750ns
225	-44	530	3	0	1	0	501	4	12528.125000ns
226	-44	530	4	0	1	0	507	5	12678.906250ns
227	-44	531	0	0	1	0	462	28	11571.875000ns
228	-44	531	1	0	1	0	551	0	13775.000000ns
229	-44	532	0	0	1	0	432	23	10817.968750ns
230	-44	532	1	0	1	0	522	7	13055.468750ns
231	-44	533	0	0	1	0	454	21	11366.406250ns
232	-44	533	1	0	1	0	461	2	11526.562500ns
233	-44	533	2	0	1	0	550	25	13769.531250ns
234	-44	534	0	0	1	0	483	4	12078.125000ns
235	-44	534	1	0	1	0	495	31	12399.218750ns
236	-44	534	2	0	1	0	575	10	14382.812500ns
237	-44	534	3	0	1	0	582	0	14550.000000ns
238	-44	534	4	0	1	0	584	29	14622.656250ns
239	-44	535	0	0	1	0	354	16	8862.500000ns
240	-44	535	1	0	1	0	564	23	14117.968750ns
241	-44	535	2	0	1	0	659	25	16494.531250ns
242	-44	536	0	0	1	0	109	12	2734.375000ns
243	-44	536	1	0	1	0	331	15	8286.718750ns
244	-44	536	2	0	1	0	338	8	8456.250000ns
245	-44	536	3	0	1	0	423	25	10594.531250ns
246	-44	540	0	0	1	0	205	22	5142.187500ns
247	-44	540	1	0	1	0	826	24	20668.750000ns
248	-44	540	2	0	1	0	837	1	20925.781250ns
